step,UCB1-tuned,Tompson_sampling,RS,RS \gamma,RS opt \gamma
32601.0,0.391,0.463,0.786,0.83,0.872
32701.0,0.394,0.454,0.787,0.828,0.864
32801.0,0.391,0.449,0.784,0.821,0.884
32901.0,0.399,0.453,0.78,0.83,0.881
33001.0,0.398,0.45,0.782,0.818,0.878
33101.0,0.398,0.454,0.78,0.82,0.882
33201.0,0.404,0.458,0.78,0.819,0.887
33301.0,0.394,0.448,0.783,0.828,0.882
33401.0,0.391,0.451,0.783,0.822,0.872
33501.0,0.391,0.45,0.789,0.825,0.882
33601.0,0.393,0.454,0.792,0.836,0.879
33701.0,0.384,0.449,0.793,0.831,0.876
33801.0,0.379,0.446,0.788,0.828,0.869
33901.0,0.385,0.446,0.787,0.817,0.874
34001.0,0.385,0.45,0.794,0.838,0.877
34101.0,0.383,0.45,0.787,0.829,0.878
34201.0,0.384,0.454,0.782,0.823,0.869
34301.0,0.38,0.45,0.787,0.831,0.871
34401.0,0.38,0.453,0.782,0.824,0.874
34501.0,0.373,0.452,0.787,0.82,0.872
34601.0,0.376,0.451,0.78,0.819,0.875
34701.0,0.381,0.456,0.777,0.827,0.882
34801.0,0.379,0.456,0.775,0.817,0.868
34901.0,0.372,0.454,0.777,0.825,0.871
35001.0,0.381,0.455,0.767,0.827,0.872
35101.0,0.381,0.449,0.769,0.824,0.875
35201.0,0.376,0.45,0.763,0.831,0.869
35301.0,0.38,0.44,0.764,0.821,0.872
35401.0,0.375,0.451,0.763,0.818,0.867
35501.0,0.372,0.447,0.757,0.814,0.867
35601.0,0.365,0.442,0.758,0.826,0.865
35701.0,0.363,0.437,0.757,0.823,0.865
35801.0,0.368,0.431,0.757,0.828,0.872
35901.0,0.364,0.426,0.757,0.831,0.871
36001.0,0.363,0.425,0.753,0.822,0.872
36101.0,0.366,0.428,0.762,0.825,0.871
36201.0,0.359,0.425,0.756,0.831,0.873
36301.0,0.361,0.432,0.748,0.834,0.876
36401.0,0.361,0.428,0.749,0.828,0.876
36501.0,0.362,0.422,0.75,0.841,0.875
36601.0,0.365,0.424,0.742,0.849,0.873
36701.0,0.365,0.422,0.741,0.841,0.867
36801.0,0.361,0.424,0.741,0.833,0.88
36901.0,0.355,0.426,0.739,0.834,0.89
37001.0,0.355,0.426,0.741,0.832,0.88
37101.0,0.358,0.427,0.743,0.837,0.875
37201.0,0.365,0.422,0.727,0.836,0.869
37301.0,0.363,0.422,0.732,0.834,0.878
37401.0,0.358,0.418,0.735,0.821,0.882
37501.0,0.368,0.419,0.732,0.838,0.886
37601.0,0.363,0.414,0.742,0.841,0.882
37701.0,0.369,0.418,0.741,0.829,0.876
37801.0,0.368,0.416,0.735,0.837,0.881
37901.0,0.368,0.41,0.734,0.826,0.878
38001.0,0.37,0.403,0.731,0.831,0.892
38101.0,0.371,0.404,0.729,0.833,0.878
38201.0,0.373,0.399,0.723,0.84,0.887
38301.0,0.376,0.4,0.722,0.839,0.893
38401.0,0.371,0.397,0.723,0.839,0.894
38501.0,0.376,0.405,0.726,0.83,0.895
38601.0,0.381,0.4,0.721,0.823,0.881
38701.0,0.385,0.401,0.727,0.818,0.877
38801.0,0.381,0.397,0.722,0.832,0.881
38901.0,0.383,0.402,0.716,0.824,0.874
39001.0,0.378,0.393,0.719,0.814,0.873
39101.0,0.374,0.395,0.728,0.822,0.877
39201.0,0.377,0.391,0.724,0.817,0.875
39301.0,0.38,0.386,0.724,0.818,0.881
39401.0,0.378,0.385,0.735,0.823,0.884
39501.0,0.375,0.393,0.732,0.829,0.876
39601.0,0.38,0.387,0.722,0.828,0.878
39701.0,0.372,0.387,0.723,0.833,0.885
39801.0,0.377,0.39,0.712,0.832,0.88
39901.0,0.377,0.384,0.716,0.823,0.882
40001.0,0.377,0.385,0.715,0.828,0.877
40101.0,0.373,0.382,0.713,0.831,0.878
40201.0,0.378,0.381,0.707,0.836,0.873
40301.0,0.374,0.38,0.704,0.838,0.866
40401.0,0.374,0.38,0.702,0.83,0.876
40501.0,0.371,0.386,0.702,0.832,0.878
40601.0,0.369,0.383,0.705,0.828,0.858
40701.0,0.372,0.379,0.7,0.818,0.874
40801.0,0.372,0.39,0.703,0.818,0.875
40901.0,0.381,0.381,0.703,0.809,0.877
41001.0,0.379,0.379,0.71,0.824,0.881
41101.0,0.376,0.385,0.703,0.814,0.88
41201.0,0.369,0.383,0.702,0.827,0.87
41301.0,0.374,0.385,0.697,0.822,0.884
41401.0,0.374,0.387,0.694,0.812,0.893
41501.0,0.371,0.378,0.695,0.832,0.875
41601.0,0.369,0.383,0.694,0.828,0.889
41701.0,0.372,0.384,0.698,0.817,0.887
41801.0,0.367,0.384,0.692,0.823,0.895
41901.0,0.376,0.384,0.69,0.82,0.885
42001.0,0.365,0.383,0.697,0.813,0.893
42101.0,0.37,0.379,0.692,0.832,0.901
42201.0,0.361,0.379,0.691,0.824,0.9
42301.0,0.37,0.378,0.692,0.824,0.893
42401.0,0.366,0.386,0.695,0.824,0.894
42501.0,0.369,0.384,0.687,0.833,0.892
42601.0,0.369,0.383,0.688,0.828,0.905
42701.0,0.366,0.38,0.685,0.82,0.904
42801.0,0.369,0.384,0.685,0.827,0.905
42901.0,0.365,0.381,0.692,0.836,0.896
43001.0,0.362,0.382,0.692,0.82,0.889
43101.0,0.356,0.377,0.692,0.825,0.891
43201.0,0.362,0.381,0.685,0.825,0.881
43301.0,0.363,0.378,0.686,0.827,0.89
43401.0,0.364,0.381,0.69,0.838,0.892
43501.0,0.367,0.381,0.696,0.828,0.892
43601.0,0.362,0.375,0.693,0.832,0.891
43701.0,0.365,0.372,0.686,0.827,0.888
43801.0,0.369,0.376,0.688,0.834,0.878
43901.0,0.367,0.368,0.688,0.826,0.878
44001.0,0.366,0.371,0.694,0.815,0.877
44101.0,0.374,0.375,0.682,0.822,0.878
44201.0,0.369,0.374,0.687,0.827,0.873
44301.0,0.369,0.375,0.689,0.831,0.877
44401.0,0.364,0.373,0.689,0.833,0.88
44501.0,0.36,0.373,0.69,0.824,0.882
44601.0,0.365,0.381,0.687,0.831,0.884
44701.0,0.358,0.375,0.685,0.816,0.891
44801.0,0.366,0.38,0.686,0.825,0.889
44901.0,0.366,0.375,0.688,0.826,0.892
45001.0,0.367,0.383,0.689,0.83,0.894
45101.0,0.36,0.386,0.689,0.839,0.901
45201.0,0.364,0.383,0.687,0.839,0.893
45301.0,0.355,0.39,0.684,0.828,0.89
45401.0,0.358,0.389,0.685,0.836,0.884
45501.0,0.355,0.385,0.677,0.822,0.889
45601.0,0.355,0.397,0.676,0.834,0.884
45701.0,0.355,0.397,0.674,0.835,0.875
45801.0,0.359,0.393,0.673,0.845,0.882
45901.0,0.362,0.394,0.678,0.839,0.879
46001.0,0.366,0.397,0.677,0.826,0.877
46101.0,0.356,0.397,0.682,0.827,0.872
46201.0,0.361,0.397,0.678,0.834,0.879
46301.0,0.357,0.395,0.674,0.839,0.878
46401.0,0.358,0.398,0.674,0.83,0.872
46501.0,0.358,0.393,0.67,0.821,0.879
46601.0,0.356,0.394,0.669,0.84,0.882
46701.0,0.359,0.391,0.671,0.818,0.887
46801.0,0.356,0.385,0.673,0.838,0.892
46901.0,0.356,0.381,0.67,0.839,0.888
47001.0,0.355,0.377,0.673,0.84,0.9
47101.0,0.356,0.378,0.67,0.835,0.893
47201.0,0.349,0.374,0.667,0.832,0.889
47301.0,0.352,0.377,0.668,0.825,0.882
47401.0,0.353,0.374,0.669,0.835,0.888
47501.0,0.358,0.369,0.671,0.814,0.891
47601.0,0.355,0.364,0.667,0.809,0.889
47701.0,0.353,0.361,0.663,0.824,0.894
47801.0,0.352,0.367,0.668,0.82,0.885
47901.0,0.343,0.367,0.67,0.833,0.885
48001.0,0.352,0.37,0.664,0.824,0.882
48101.0,0.351,0.371,0.666,0.821,0.88
48201.0,0.358,0.371,0.665,0.829,0.891
48301.0,0.364,0.372,0.664,0.828,0.88
48401.0,0.359,0.369,0.665,0.822,0.875
48501.0,0.36,0.363,0.668,0.826,0.882
48601.0,0.363,0.366,0.668,0.819,0.879
48701.0,0.361,0.365,0.671,0.812,0.886
48801.0,0.366,0.366,0.671,0.808,0.882
48901.0,0.365,0.368,0.671,0.818,0.886
49001.0,0.361,0.364,0.677,0.812,0.872
49101.0,0.363,0.362,0.674,0.812,0.873
49201.0,0.369,0.359,0.677,0.812,0.878
49301.0,0.372,0.357,0.676,0.814,0.882
49401.0,0.372,0.356,0.675,0.807,0.881
49501.0,0.375,0.356,0.673,0.808,0.885
49601.0,0.375,0.351,0.669,0.818,0.885
49701.0,0.378,0.359,0.674,0.819,0.875
49801.0,0.372,0.357,0.672,0.811,0.889
49901.0,0.378,0.351,0.672,0.821,0.879
50001.0,0.382,0.353,0.673,0.823,0.892
50101.0,0.376,0.351,0.676,0.827,0.875
50201.0,0.371,0.351,0.678,0.829,0.886
50301.0,0.374,0.351,0.681,0.829,0.891
50401.0,0.377,0.347,0.679,0.834,0.88
50501.0,0.372,0.344,0.677,0.84,0.874
50601.0,0.372,0.351,0.679,0.838,0.876
50701.0,0.369,0.352,0.679,0.834,0.867
50801.0,0.372,0.353,0.68,0.828,0.869
50901.0,0.366,0.352,0.675,0.837,0.861
51001.0,0.373,0.349,0.681,0.84,0.863
51101.0,0.371,0.347,0.685,0.837,0.859
51201.0,0.368,0.346,0.682,0.848,0.875
51301.0,0.369,0.35,0.672,0.834,0.866
51401.0,0.372,0.345,0.672,0.838,0.872
51501.0,0.369,0.347,0.666,0.84,0.878
51601.0,0.362,0.341,0.66,0.839,0.876
51701.0,0.371,0.344,0.668,0.835,0.881
51801.0,0.362,0.35,0.67,0.835,0.876
51901.0,0.367,0.346,0.673,0.847,0.871
52001.0,0.365,0.34,0.663,0.837,0.882
52101.0,0.359,0.339,0.664,0.83,0.877
52201.0,0.355,0.337,0.67,0.828,0.88
52301.0,0.362,0.341,0.67,0.82,0.889
52401.0,0.363,0.331,0.678,0.812,0.877
52501.0,0.362,0.342,0.68,0.83,0.882
52601.0,0.356,0.339,0.678,0.823,0.884
52701.0,0.369,0.333,0.676,0.825,0.879
52801.0,0.369,0.333,0.673,0.814,0.883
52901.0,0.368,0.332,0.67,0.821,0.878
53001.0,0.363,0.332,0.673,0.816,0.883
53101.0,0.365,0.329,0.666,0.817,0.868
53201.0,0.36,0.332,0.663,0.824,0.874
53301.0,0.36,0.332,0.665,0.821,0.878
53401.0,0.358,0.335,0.673,0.813,0.875
53501.0,0.359,0.333,0.671,0.826,0.879
53601.0,0.353,0.334,0.663,0.813,0.883
53701.0,0.349,0.34,0.662,0.806,0.882
53801.0,0.347,0.335,0.661,0.812,0.881
53901.0,0.344,0.34,0.656,0.815,0.879
54001.0,0.343,0.342,0.652,0.816,0.885
54101.0,0.344,0.342,0.651,0.803,0.881
54201.0,0.344,0.335,0.648,0.811,0.876
54301.0,0.341,0.34,0.654,0.814,0.88
54401.0,0.337,0.346,0.651,0.818,0.872
54501.0,0.344,0.339,0.655,0.817,0.889
54601.0,0.348,0.337,0.654,0.814,0.895
54701.0,0.34,0.348,0.652,0.812,0.89
54801.0,0.343,0.346,0.647,0.814,0.895
54901.0,0.34,0.352,0.646,0.812,0.882
55001.0,0.342,0.351,0.647,0.818,0.892
55101.0,0.337,0.348,0.652,0.814,0.876
