step,UCB1-tuned,Tompson_sampling,RS,RS \gamma,RS opt \gamma
44601.0,0.321,0.297,0.666,0.82,0.904
44701.0,0.322,0.303,0.665,0.831,0.91
44801.0,0.326,0.307,0.665,0.825,0.912
44901.0,0.325,0.309,0.67,0.837,0.909
45001.0,0.325,0.319,0.67,0.841,0.906
45101.0,0.328,0.315,0.67,0.834,0.908
45201.0,0.328,0.324,0.673,0.833,0.909
45301.0,0.328,0.324,0.682,0.834,0.917
45401.0,0.327,0.332,0.689,0.84,0.922
45501.0,0.323,0.336,0.689,0.831,0.92
45601.0,0.326,0.339,0.689,0.842,0.914
45701.0,0.325,0.344,0.69,0.84,0.911
45801.0,0.325,0.351,0.686,0.845,0.905
45901.0,0.327,0.351,0.691,0.849,0.9
46001.0,0.325,0.354,0.691,0.843,0.899
46101.0,0.325,0.354,0.701,0.847,0.899
46201.0,0.328,0.359,0.701,0.848,0.911
46301.0,0.329,0.352,0.7,0.857,0.907
46401.0,0.329,0.361,0.71,0.85,0.914
46501.0,0.327,0.369,0.71,0.862,0.909
46601.0,0.332,0.368,0.715,0.848,0.911
46701.0,0.327,0.373,0.716,0.856,0.915
46801.0,0.331,0.381,0.716,0.863,0.923
46901.0,0.335,0.377,0.718,0.867,0.923
47001.0,0.331,0.381,0.72,0.866,0.912
47101.0,0.336,0.383,0.729,0.87,0.901
47201.0,0.338,0.384,0.726,0.868,0.911
47301.0,0.335,0.394,0.731,0.862,0.907
47401.0,0.335,0.389,0.728,0.865,0.908
47501.0,0.334,0.393,0.732,0.855,0.922
47601.0,0.331,0.397,0.733,0.865,0.918
47701.0,0.335,0.389,0.735,0.865,0.911
47801.0,0.335,0.395,0.738,0.871,0.908
47901.0,0.338,0.398,0.736,0.874,0.907
48001.0,0.339,0.407,0.74,0.869,0.91
48101.0,0.338,0.405,0.743,0.87,0.908
48201.0,0.338,0.407,0.745,0.874,0.901
48301.0,0.339,0.414,0.744,0.871,0.906
48401.0,0.342,0.409,0.746,0.876,0.915
48501.0,0.343,0.418,0.75,0.878,0.913
48601.0,0.342,0.419,0.753,0.879,0.904
48701.0,0.341,0.42,0.753,0.876,0.9
48801.0,0.344,0.423,0.754,0.882,0.901
48901.0,0.343,0.423,0.756,0.878,0.897
49001.0,0.348,0.422,0.758,0.885,0.901
49101.0,0.344,0.425,0.759,0.881,0.9
49201.0,0.341,0.429,0.759,0.884,0.898
49301.0,0.346,0.432,0.759,0.891,0.893
49401.0,0.347,0.434,0.762,0.888,0.891
49501.0,0.346,0.431,0.761,0.882,0.893
49601.0,0.347,0.435,0.762,0.875,0.899
49701.0,0.344,0.438,0.761,0.88,0.906
49801.0,0.346,0.442,0.762,0.889,0.902
49901.0,0.348,0.44,0.764,0.885,0.9
50001.0,0.043,0.052,0.048,0.045,0.036
50101.0,0.086,0.052,0.174,0.353,0.319
50201.0,0.094,0.057,0.225,0.473,0.488
50301.0,0.115,0.059,0.257,0.514,0.591
50401.0,0.121,0.062,0.286,0.558,0.683
50501.0,0.131,0.058,0.306,0.599,0.726
50601.0,0.14,0.068,0.334,0.626,0.761
50701.0,0.148,0.074,0.354,0.649,0.772
50801.0,0.157,0.075,0.378,0.661,0.789
50901.0,0.161,0.079,0.388,0.681,0.81
51001.0,0.167,0.084,0.415,0.7,0.818
51101.0,0.171,0.088,0.424,0.696,0.832
51201.0,0.179,0.101,0.439,0.719,0.845
51301.0,0.185,0.103,0.456,0.72,0.851
51401.0,0.199,0.102,0.464,0.738,0.865
51501.0,0.203,0.112,0.479,0.742,0.864
51601.0,0.208,0.113,0.487,0.748,0.874
51701.0,0.215,0.124,0.493,0.749,0.878
51801.0,0.22,0.13,0.503,0.751,0.869
51901.0,0.222,0.133,0.511,0.753,0.872
52001.0,0.228,0.137,0.522,0.769,0.872
52101.0,0.227,0.136,0.534,0.764,0.877
52201.0,0.233,0.152,0.539,0.774,0.882
52301.0,0.238,0.149,0.549,0.771,0.887
52401.0,0.24,0.155,0.56,0.771,0.896
